Provinsi,persentase
ACEH,99.43
SUMATERA UTARA,99.64
SUMATERA BARAT,99.84
RIAU,99.78
JAMBI,99.53
SUMATERA SELATAN,99.47
BENGKULU,99.33
LAMPUNG,99.39
KEP. BANGKA BELITUNG,98.75
KEP. RIAU,99.00
DKI JAKARTA,99.69
JAWA BARAT,99.65
JAWA TENGAH,97.80
DI YOGYAKARTA,98.83
JAWA TIMUR,96.52
BANTEN,98.76
BALI,96.13
NUSA TENGGARA BARAT,92.09
NUSA TENGGARA TIMUR,94.85
KALIMANTAN BARAT,95.50
KALIMANTAN TENGAH,99.55
KALIMANTAN SELATAN,99.76
KALIMANTAN TIMUR,99.34
KALIMANTAN UTARA,97.09
SULAWESI UTARA,99.89
SULAWESI TENGAH,99.07
SULAWESI SELATAN,95.51
SULAWESI TENGGARA,97.00
GORONTALO,99.43
SULAWESI BARAT,95.42
MALUKU,99.37
MALUKU UTARA,99.24
PAPUA BARAT,98.04
PAPUA,71.04
