Provinsi,SD,SMP,SMA,PT
ACEH,99.66,95.23,74.70,29.18
SUMATERA UTARA,99.03,92.11,71.24,21.81
SUMATERA BARAT,98.81,92.20,74.10,30.66
RIAU,98.59,90.35,69.79,22.04
JAMBI,98.81,91.96,63.97,20.25
SUMATERA SELATAN,98.57,89.47,60.74,14.08
BENGKULU,99.50,93.16,71.21,24.12
LAMPUNG,99.03,91.06,64.41,16.19
KEP. BANGKA BELITUNG,98.13,84.63,56.42,9.46
KEP. RIAU,98.63,96.67,73.66,14.85
DKI JAKARTA,99.40,95.47,66.09,19.65
JAWA BARAT,98.85,89.40,59.98,17.34
JAWA TENGAH,99.28,90.73,59.88,17.42
DI YOGYAKARTA,99.96,96.79,81.41,45.86
JAWA TIMUR,99.05,92.83,62.32,19.49
BANTEN,98.60,91.32,62.89,18.08
BALI,99.26,95.90,74.03,19.84
NUSA TENGGARA BARAT,98.20,92.23,66.40,22.64
NUSA TENGGARA TIMUR,97.34,89.43,64.81,22.88
KALIMANTAN BARAT,96.91,85.94,58.80,19.27
KALIMANTAN TENGAH,99.05,86.14,59.18,19.89
KALIMANTAN SELATAN,98.76,86.60,60.19,16.95
KALIMANTAN TIMUR,99.46,96.49,73.92,25.04
KALIMANTAN UTARA,-,-,-,-
SULAWESI UTARA,98.92,90.48,66.88,16.36
SULAWESI TENGAH,97.70,87.49,66.12,21.76
SULAWESI SELATAN,98.24,89.66,62.67,27.80
SULAWESI TENGGARA,98.00,89.12,65.84,24.00
GORONTALO,97.90,86.23,59.91,23.27
SULAWESI BARAT,95.20,84.55,59.62,18.04
MALUKU,98.79,94.44,70.28,33.80
MALUKU UTARA,98.02,93.40,69.04,26.42
PAPUA BARAT,95.59,92.94,71.89,24.10
PAPUA,75.23,72.64,53.19,17.50
